,,,SpineMid,,,Neck,,,Head,,,ShoulderLeft,,,ElbowLeft,,,WristLeft,,,HandLeft,,,ShoulderRight,,,ElbowRight,,,WristRight,,,HandRight,,,SpineShoulder,,
Absolute Time,Relative Time,TrackingID,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
14:17.4,153481,0,0.115168,-0.135887,0.954,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.124222,0.023847,0.977
14:17.5,153514,0,0.138778,-0.122867,0.948,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.135922,0.036162,0.971
14:17.5,153547,0,0.108018,-0.116412,0.945,0.454518,-0.124549,1.367,0.076325,0.317554,0.752,,,,0.288674,-0.176883,0.806,,,,,,,,,,,,,,,,,,,0.176747,0.005722,1.11
14:17.5,153580,0,0.120401,-0.122736,0.947,0.457178,-0.125278,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.198846,0.048772,0.974
14:17.6,153614,0,0.110184,-0.112219,0.825,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.102861,0.031731,0.852
14:17.6,153646,0,0.097606,-0.063714,0.613,0.455181,-0.159872,1.369,0.076223,0.317132,0.751,,,,0.267652,-0.176662,0.805,,,,,,,,,,,,,,,,,,,0.190542,0.023577,0.765
14:17.6,153679,0,0.126879,-0.117029,0.95,0.455181,-0.159872,1.369,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.076815,0.012815,1.107
14:17.7,153713,0,0.145016,-0.098637,0.949,0.456178,-0.160223,1.372,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.26668,0.040924,1.099
14:17.7,153747,0,0.081069,-0.074775,0.607,0.45618,-0.125005,1.372,0.076528,0.318399,0.754,,,,0.257344,-0.189727,0.774,,,,,,,,,,,,,,,,,,,0.175813,0.00885,0.765
14:17.7,153781,0,0.120529,-0.104615,0.948,0.457176,-0.160573,1.375,0.076223,0.317132,0.751,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.268378,0.02699,1.106
14:17.8,153814,0,0.139071,-0.11703,0.95,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.19803,0.048572,0.97
14:17.8,153848,0,0.138925,-0.116906,0.949,0.454518,-0.124549,1.367,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.123587,0.042438,0.972
14:17.8,153880,0,0.11005,-0.117371,0.824,0.457178,-0.125278,1.375,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.107311,0.015185,0.844
14:17.9,153915,0,0.105144,-0.101877,0.827,0.455183,-0.124732,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.102138,0.042366,0.846
14:17.9,153948,0,0.121164,-0.117398,0.953,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,0.257344,-0.189727,0.774,,,,,,,,,,,,,,,,,,,0.260808,0.012772,1.104
14:17.9,153981,0,0.127546,-0.123774,0.955,0.457178,-0.125278,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.198846,0.042522,0.974
14:18.0,154014,0,0.108018,-0.122477,0.945,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.19905,0.048822,0.975
14:18.0,154049,0,0.121927,-0.118138,0.959,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.130092,0.042525,0.974
14:18.0,154082,0,0.109516,-0.111539,0.82,0.457176,-0.160573,1.375,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.102016,0.031471,0.845
14:18.1,154115,0,0.132695,-0.12895,0.948,0.455183,-0.124732,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.185963,0.042435,0.972
14:18.1,154148,0,0.114324,-0.104505,0.947,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.268863,0.027039,1.108
14:18.1,154181,0,0.105017,-0.107054,0.826,0.457841,-0.160807,1.377,0.076731,0.319243,0.756,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.21916,0.01135,0.981
14:18.2,154214,0,0.104508,-0.101261,0.822,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.156047,0.011341,0.98
14:18.2,154247,0,0.088791,-0.101383,0.823,0.45618,-0.125005,1.372,0.076731,0.319243,0.756,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.155888,0.005047,0.979
14:18.2,154281,0,0.108981,-0.121468,0.816,0.455183,-0.124732,1.369,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.064286,0.026142,0.848
14:18.3,154314,0,0.120274,-0.110465,0.946,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,0.268982,-0.17754,0.809,,,,,,,,,,,,,,,,,,,0.17611,-0.001396,1.106
14:18.3,154347,0,0.133535,-0.117522,0.954,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,0.267984,-0.176882,0.806,,,,,,,,,,,,,,,,,,,0.253723,0.012772,1.104
14:18.3,154382,0,0.138486,-0.110466,0.946,0.45352,-0.124276,1.364,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.129157,0.048425,0.967
14:18.4,154414,0,0.126879,-0.117029,0.95,0.457178,-0.125278,1.375,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.176269,-0.001397,1.107
14:18.4,154447,0,0.139218,-0.117153,0.951,0.454518,-0.124549,1.367,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.136622,0.042612,0.976
14:18.4,154481,0,0.109916,-0.117228,0.823,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.108329,0.026264,0.852
14:18.5,154514,0,0.115288,-0.142158,0.955,0.455183,-0.124732,1.369,0.076832,0.319665,0.757,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.169469,-0.029866,1.109
14:18.5,154546,0,0.121927,-0.111983,0.959,0.455183,-0.124732,1.369,0.077035,0.32051,0.759,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.246192,0.019821,1.102
14:18.5,154581,0,0.134795,-0.118631,0.963,0.456178,-0.160223,1.372,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.205097,0.048772,0.974
14:18.6,154613,0,0.102277,-0.116782,0.948,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,0.268982,-0.17754,0.809,,,,0.149018,-0.272629,0.73,,,,,,,,,,,,,0.254182,0.005698,1.106
14:18.6,154646,0,0.089884,-0.067758,0.614,0.454518,-0.124549,1.367,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.09311,0.03593,0.636
14:18.6,154682,0,0.121164,-0.117398,0.953,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.176269,0.005707,1.107
14:18.7,154714,0,0.121291,-0.123644,0.954,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.253492,-0.001396,1.103
14:18.7,154747,0,0.133955,-0.117892,0.957,0.457841,-0.160807,1.377,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.192398,0.054966,0.973
